Sport,Event,Competition,Gender,Athlete,Country,Place Finish
Curling,Team,Masters of Curling,Men,Pat Simmons,CAN,9
Curling,Team,Masters of Curling,Men,Jason Gunnlaugson,CAN,9
Curling,Team,Masters of Curling,Men,Reid Carruthers,CAN,5
Curling,Team,Masters of Curling,Men,Steve Laycock,CAN,9
Curling,Team,Masters of Curling,Men,John Shuster,USA,9
Curling,Team,Boost National,Women,Rachel Homan,CAN,2
Curling,Team,Boost National,Women,Tracy Fleury,CAN,3
Curling,Team,Boost National,Women,Jennifer Jones,CAN,3
Curling,Team,Boost National,Women,Allison Flaxey,CAN,9
Curling,Team,Boost National,Women,Kelsey Rocque,CAN,9
Curling,Team,Boost National,Women,Bingyu Wang,CHN,9
Curling,Team,Boost National,Women,Chelsea Carey,CAN,9
Curling,Team,Boost National,Women,Alina Paetz,SUI,9
Curling,Team,Boost National,Women,Casey Scheidegger,CAN,5
Curling,Team,Boost National,Women,Julie Tippin,CAN,9
Curling,Team,Boost National,Women,Val Sweeting,CAN,1
Curling,Team,Boost National,Women,Jacqueline Harrison,CAN,9
Curling,Team,Boost National,Women,Binia Feltscher,SUI,5
Curling,Team,Boost National,Women,Kerri Einarson,CAN,9
Curling,Team,Boost National,Women,Michelle Englot,CAN,9
Curling,Team,Boost National,Men,Brad Jacobs,CAN,9
Curling,Team,Boost National,Men,Bruce Mouat,SCO,5
Curling,Team,Boost National,Men,Rui Liu,CHN,9
Curling,Team,Boost National,Men,Greg Balsdon,CAN,9
Curling,Team,Boost National,Men,William Lyburn,CAN,9
Curling,Team,Boost National,Men,Mike McEwen,CAN,3
Curling,Team,Boost National,Men,Kevin Koe,CAN,1
Curling,Team,Boost National,Men,John Epping,CAN,3
Curling,Team,Boost National,Men,Greg Drummond,SCO,9
Curling,Team,Boost National,Men,Brad Gushue,CAN,9
Curling,Team,Boost National,Men,John Morris,CAN,9
Curling,Team,Boost National,Men,Pat Simmons,CAN,9
Curling,Team,Boost National,Men,Jason Gunnlaugson,CAN,5
Curling,Team,Boost National,Men,Reid Carruthers,CAN,5
Curling,Team,Boost National,Men,Chang-Min Kim,KOR,2
Curling,Team,Princess Auto Elite 10,Men,Brad Jacobs,CAN,5
Curling,Team,Princess Auto Elite 10,Men,Glenn Howard,CAN,3
Curling,Team,Princess Auto Elite 10,Men,Mike McEwen,CAN,1
Curling,Team,Princess Auto Elite 10,Men,Kevin Koe,CAN,3
Curling,Team,Princess Auto Elite 10,Men,John Epping,CAN,5
Curling,Team,Princess Auto Elite 10,Men,Brad Gushue,CAN,2
